Epoch 79: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.154
Epoch 80: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.153
Epoch 81: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.152
Epoch 82: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.152
Epoch 83: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.156
Epoch 84: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.152
Epoch 85: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.152
Epoch 86: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.153
Epoch 87: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.150
Epoch 88: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.151
Epoch 89: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.152
Epoch 90: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.152
Epoch 91: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.150
Epoch 92: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.150
Epoch 93: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.152
Epoch 94: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.149
Epoch 95: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.153
Epoch 96: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.150
Epoch 97: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.151
Epoch 98: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.150
Epoch 99: duration loss = 0.290 | prior loss = 1.207 | diffusion loss = 0.149
Epoch 100: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.153
Epoch 101: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.152
Epoch 102: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.150
Epoch 103: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.151
Epoch 104: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.149
Epoch 105: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.153
Epoch 106: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.151
Epoch 107: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.149
Epoch 108: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.151
Epoch 109: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.149
Epoch 110: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.150
Epoch 111: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.151
Epoch 112: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.149
Epoch 113: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.148
Epoch 114: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.148
Epoch 115: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.149
Epoch 116: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.149
Epoch 117: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.148
Epoch 118: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.148
Epoch 119: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.149
Epoch 120: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.149
Epoch 121: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.149
Epoch 122: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.149
Epoch 123: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.148
Epoch 124: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.150
Epoch 125: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.149
Epoch 126: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.149
Epoch 127: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.148
Epoch 128: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.147
Epoch 129: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.148
Epoch 130: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.149
Epoch 131: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.147
Epoch 132: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.148
Epoch 133: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.147
