Epoch 1: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.283
Epoch 2: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.178
Epoch 3: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.158
Epoch 4: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.154
Epoch 5: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.149
Epoch 6: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 7: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 8: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 9: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 10: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.136
Epoch 11: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.136
Epoch 12: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.134
Epoch 13: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.129
Epoch 14: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.131
Epoch 15: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.133
Epoch 16: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 17: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.131
Epoch 18: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.130
Epoch 19: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 20: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 21: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 22: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.129
Epoch 23: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 24: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 25: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 26: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.122
Epoch 27: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 28: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 29: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.124
Epoch 30: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.122
Epoch 31: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.122
Epoch 32: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.123
Epoch 33: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 34: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 35: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.123
