Epoch 69: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 70: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 71: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 72: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 73: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 74: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 75: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 76: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 77: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 78: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.138
Epoch 79: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 80: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 81: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.137
Epoch 82: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.138
Epoch 83: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 84: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 85: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.138
Epoch 86: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 87: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 88: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 89: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.136
Epoch 90: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.138
Epoch 91: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.137
Epoch 92: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.138
Epoch 93: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.136
Epoch 94: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.134
Epoch 95: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.135
Epoch 96: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.137
Epoch 97: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.138
Epoch 98: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.135
Epoch 99: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.137
Epoch 100: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.138
Epoch 101: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.137
Epoch 102: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.138
Epoch 103: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.136
Epoch 104: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.137
Epoch 105: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.135
Epoch 106: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.132
Epoch 107: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.135
Epoch 108: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.136
Epoch 109: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.135
Epoch 110: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.134
Epoch 111: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.131
Epoch 112: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.135
Epoch 113: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.132
Epoch 114: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.136
Epoch 115: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.135
Epoch 116: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.135
Epoch 117: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.134
Epoch 118: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.133
Epoch 119: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.133
Epoch 120: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.133
Epoch 121: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.136
Epoch 122: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.133
Epoch 123: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.132
Epoch 124: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.132
Epoch 125: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.135
Epoch 126: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.133
Epoch 127: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.135
Epoch 128: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.135
Epoch 129: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.135
Epoch 130: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.136
Epoch 131: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.132
Epoch 132: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.132
Epoch 133: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.131
Epoch 134: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.132
Epoch 135: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.132
Epoch 136: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.133
Epoch 137: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.132
Epoch 138: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.133
Epoch 139: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.131
Epoch 140: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.133
Epoch 141: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.135
Epoch 142: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.131
Epoch 143: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.134
Epoch 144: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.132
Epoch 145: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.131
Epoch 146: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.133
Epoch 147: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.132
Epoch 148: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.132
Epoch 149: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.130
Epoch 150: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.131
Epoch 151: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.130
Epoch 152: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.133
Epoch 153: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.130
Epoch 154: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.129
Epoch 155: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.128
