Epoch 79: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.480
Epoch 80: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.479
Epoch 81: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.478
Epoch 82: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.480
Epoch 83: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.480
Epoch 84: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.479
Epoch 85: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.478
Epoch 86: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.478
Epoch 87: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.476
Epoch 88: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.478
Epoch 89: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.476
Epoch 90: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.477
Epoch 91: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.477
Epoch 92: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.477
Epoch 93: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.477
Epoch 94: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.477
Epoch 95: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.475
Epoch 96: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.476
Epoch 97: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.477
Epoch 98: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.475
Epoch 99: duration loss = 0.290 | prior loss = 1.207 | diffusion loss = 0.475
Epoch 100: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.475
Epoch 101: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.473
Epoch 102: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.473
Epoch 103: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.474
Epoch 104: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.474
Epoch 105: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.474
Epoch 106: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.475
Epoch 107: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.474
Epoch 108: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.475
Epoch 109: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.474
Epoch 110: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.474
Epoch 111: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.472
Epoch 112: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.472
Epoch 113: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.474
Epoch 114: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.471
